Zone,Model,MAE,RMSE,R2,MAPE
Zone-1,ARIMA,1.687711518982579,1.969473863015385,-1.804829148348981,0.8964012685576783
Zone-1,HoltWinters,1.893287305722754,2.271705835859181,-2.719884525009747,0.9995957708259768
Zone-1,LSTM,1.7964574011428933,2.1096945698593497,-2.1551515855966192,0.9609281113861297
Zone-1,Prophet,609.3633134550805,951.5783553480023,-2330636.449813777,283.63764417598026
Zone-1,RandomForest,1.8365934380218112,2.15805976985528,-2.2990938954584506,0.9621917655200639
Zone-2,ARIMA,1.839679004436445,2.6430552816947936,-1.842354491181313,1.514028262955527
Zone-2,HoltWinters,2.0325901628503025,2.878824708549326,-3.40171513180995,1.6217848971228586
Zone-2,LSTM,1.9629862317945674,2.7549144768850167,-2.4250972562774797,1.579856254170637
Zone-2,Prophet,589.260675419893,1195.8250847105637,-115469458.67563403,160.44708309983486
Zone-2,RandomForest,2.0128290128713835,2.8117273215289424,-5.10954349786042,1.6034064842716564
Zone-3,ARIMA,1.4710259995128283,1.757486033822762,-0.7030981049927888,1.4264752997662289
Zone-3,HoltWinters,1.7625896020519218,2.1222211689036823,-1.645554420553971,1.7122089085727474
Zone-3,LSTM,1.546443229000384,1.8344381090754052,-0.9930927520272864,1.5120339757060015
Zone-3,Prophet,112.63707679659579,155.50950749229784,-81519.28656806021,99.06457151359471
Zone-3,RandomForest,1.4847553304402572,1.8019307896415018,-0.7827093997446911,1.449935381249245
Zone-4,ARIMA,2.8414408770187345,3.524119317371,-5.537839310285339e+23,1.2925706350244537
Zone-4,HoltWinters,2.934632219655642,3.720601643605462,-1.0533120263871823e+24,1.358180502160268
Zone-4,LSTM,2.810154141064457,3.4540876088083383,-6.048478702447802e+24,1.2850533503093786
Zone-4,Prophet,1387.3119636677047,2148.5034677760354,-2.723460780769628e+31,600.1889613409918
Zone-4,RandomForest,2.844949777918558,3.523261574402859,-3.141306637829684e+23,1.3085261656563705
Zone-5,ARIMA,2.9950286503488344,3.5210513949395295,-0.9098243865297352,0.8811321592847141
Zone-5,HoltWinters,3.2451922811181104,3.932116001270298,-1.898104759652311,0.9758164706803087
Zone-5,LSTM,3.0730729317202106,3.572457717280197,-0.8991024703372922,0.8964437621690924
Zone-5,Prophet,2140.374947099059,3311.92026747558,-3949286.3936875695,593.9732239796251
Zone-5,RandomForest,3.1626731057295188,3.782506053925162,-1.586027017128118,0.908070199205963
Zone-6,ARIMA,2.772957546070812,3.306889175797226,-11.731978213056516,2.6113455967735617
Zone-6,HoltWinters,3.337304518071465,4.032022567450306,-33.61159198163379,3.062031866213459
Zone-6,LSTM,2.911610111848792,3.500473733914198,-30.357254894271954,2.7951698980126967
Zone-6,Prophet,1191.515504412528,1868.7059748743743,-13683263.689121237,642.6179252007906
Zone-6,RandomForest,2.7880196344730908,3.3498231190299044,-13.791233155323976,2.5171689372940462
